GenAspId;MaUSubs;MaUSelCons;MaUCom;SoUseFo;SoUseFe;SoUseBioconv;SoUseBiocont;SoUsePol;SoUsePet;SoUseCult;SoUseOth;ObtHar;ObtSHar;ObtPro;ContUtNA;ContUtCA;ContUtSA;ContUtAs;ContUtEu;ContUtOc;ContUtAf;MarYN;MarLoc;MarReg;MarNat;MarInt;MarMP;ScLS;ScMS;ScLaS;SocAccCSA;SocAccNA;SocAccAf;SocAccOc;SocAccEu;SocAccAs;LegPunc;LegLeg
54;2;2;3;3;1;0;0;3;0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;3;3;Food;3;3;3;3;3;3;3;3;3;1;resolución no 000206 de 2022 - Ministerio de agricultura
55;2;3;2;2;0;0;0;0;0;0;0;3;1;0;1;2;1;2;0;0;0;0;0;1;0;1;Food;2;1;0;2;0;0;0;0;0;0;N.A.
56;2;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;Biocontrol;1;1;0;0;0;0;0;0;0;0;N.A.
57;1;3;3;3;0;1;0;0;0;0;2;0;1;2;1;1;1;3;1;0;0;0;0;0;0;2;Food;3;1;0;1;1;0;0;2;3;0;N.A.
58;1;1;3;0;1;1;0;0;2;0;0;0;2;1;1;1;1;2;1;0;2;0;0;0;0;2;Pet;2;1;0;1;1;3;0;1;1;0;N.A.
59;1;2;3;2;2;2;0;0;0;0;0;0;0;3;2;1;1;1;2;0;0;0;0;0;0;1;Feed;2;1;0;1;2;1;0;2;2;0;N.A.
60;0;0;1;1;1;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;2;Laboratory- reared;1;1;2;0;0;0;0;1;1;0;N.A.
61;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
63;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;Food;2;0;0;0;0;3;0;0;0;0;N.A.
64;1;2;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;2;1;0;0;Food;0;0;0;0;0;2;0;0;0;0;N.A.
65;1;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;Food;0;0;0;0;0;3;0;0;0;0;N.A.
66;0;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;Food;0;0;0;0;0;3;0;0;0;0;N.A.
67;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;Food;0;0;0;0;0;2;0;0;0;0;N.A.
68;1;2;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;2;1;0;0;Food;1;1;0;0;0;3;0;0;0;0;N.A.
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
70;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;Food;1;1;0;0;0;3;0;0;0;0;N.A.
71;1;3;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;2;1;0;0;Food;1;0;0;0;0;3;0;0;1;0;N.A.
72;2;3;1;2;0;1;1;0;0;0;0;3;0;0;0;0;0;2;0;0;3;0;2;1;0;0;Food;1;0;0;0;0;3;0;0;0;0;N.A.
73;2;3;1;2;2;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;3;0;2;1;0;0;Food;1;0;0;0;0;3;0;0;1;0;N.A.
74;2;3;2;3;3;0;0;0;0;0;0;2;2;3;2;1;1;3;0;0;3;0;2;2;3;3;Food;3;2;2;2;3;3;0;3;3;1;Reglamento de Ejecución (UE) 2021/1975 de la Comisión de 12 de noviembre de 2021 por el que se autoriza la comercialización de las formas congelada, desecada y en polvo de Locusta migratoria como nuevo alimento con arreglo al Reglamento (UE) 2015/2283 del Parlamento Europeo y del Consejo y se modifica el Reglamento de Ejecución (UE) 2017/2470 de la Comisión (Texto pertinente a efectos del EEE)
75;1;2;1;2;0;0;0;0;0;0;0;2;2;0;0;0;0;3;1;0;0;0;0;1;0;0;Food;0;0;0;0;0;0;0;0;2;0;N.A.
76;2;3;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;1;0;0;Food;1;0;0;0;0;0;0;0;3;0;N.A.
77;3;3;1;2;1;0;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;0;1;1;0;0;Food;2;1;0;0;0;1;0;0;2;0;N.A.
78;1;2;1;2;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;0;1;1;0;0;Food;2;1;0;0;0;3;0;0;3;0;N.A.
79;1;0;2;0;0;0;3;0;0;0;0;3;2;1;3;3;3;3;3;2;1;0;0;0;0;3;Biocontrol;1;2;1;3;3;3;3;3;3;0;N.A.
80;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;3;2;0;N.A.
82;1;2;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;1;0;0;0;Food;0;0;0;0;0;0;2;0;0;0;N.A.
83;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;0;0;Food;1;0;0;0;0;0;2;0;0;0;N.A.
84;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;0;0;Food;1;0;0;0;0;0;2;0;0;0;N.A.
85;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;3;0;0;0;N.A.
86;1;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;1;0;0;Food;1;0;0;0;0;0;3;0;0;0;N.A.
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;0;0;0;0;0;0;N.A.
